Nr,Group,Position,Locus,K*,Df,Signif.,Nr,inf.,Meanrank-ac,Mean-ac,Nr-ac,Meanrank-ad,Mean-ad,Nr-ad,Meanrank-bc,Mean-bc,Nr-bc,Meanrank-bd,Mean-bd,Nr-bd,Meanrank-ee,Mean-ee,Nr-ee,Meanrank-ef,Mean-ef,Nr-ef,Meanrank-eg,Mean-eg,Nr-eg,Meanrank-fg,Mean-fg,Nr-fg,Meanrank-hh,Mean-hh,Nr-hh,Meanrank-hk,Mean-hk,Nr-hk,Meanrank-kk,Mean-kk,Nr-kk,Meanrank-h-,Mean-h-,Nr-h-,Meanrank-k-,Mean-k-,Nr-k-,Meanrank-ll,Mean-ll,Nr-ll,Meanrank-lm,Mean-lm,Nr-lm,Meanrank-nn,Mean-nn,Nr-nn,Meanrank-np,Mean-np,Nr-np
1507,LG1,0,S1_1636004,0.764,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4.7037,27,26,4.42308,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,LG1,6.83,S1_1747293,1.882,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,4.36667,30,28.8,4.82609,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,LG1,6.83,S1_1747251,1.882,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,4.36667,30,28.8,4.82609,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,LG1,6.83,S1_1747264,1.882,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,4.36667,30,28.8,4.82609,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,LG1,12.938,S1_2974051,1.882,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,4.82609,23,25.6,4.36667,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,LG1,31.609,S1_6537739,0.204,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,13,26.7,4.525,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,LG1,31.609,S1_5891217,0.204,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,13,26.7,4.525,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,LG1,31.609,S1_5891212,0.204,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,13,26.7,4.525,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,LG1,31.609,S1_5469497,0.204,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,13,26.7,4.525,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,LG1,33.477,ab1_6613987,0.121,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,4.66667,12,26.8,4.53659,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,LG1,37.35,S1_6985342,0.015,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9,4.55814,43,27.3,4.6,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,LG1,41.406,S26_4813848,0.018,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,4.57778,45,26.6,4.5,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,LG1,43.771,S1_7229213,0,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4.56818,44,27,4.55556,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,LG10,0,S10_1013225,0.606,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.42857,28,28,4.72,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
