Nr,Group,Position,Locus,K*,Df,Signif.,Nr inf.,Meanrank-ac,Mean-ac,Nr-ac,Meanrank-ad,Mean-ad,Nr-ad,Meanrank-bc,Mean-bc,Nr-bc,Meanrank-bd,Mean-bd,Nr-bd,Meanrank-ee,Mean-ee,Nr-ee,Meanrank-ef,Mean-ef,Nr-ef,Meanrank-eg,Mean-eg,Nr-eg,Meanrank-fg,Mean-fg,Nr-fg,Meanrank-hh,Mean-hh,Nr-hh,Meanrank-hk,Mean-hk,Nr-hk,Meanrank-kk,Mean-kk,Nr-kk,Meanrank-h-,Mean-h-,Nr-h-,Meanrank-k-,Mean-k-,Nr-k-,Meanrank-ll,Mean-ll,Nr-ll,Meanrank-lm,Mean-lm,Nr-lm,Meanrank-nn,Mean-nn,Nr-nn,Meanrank-np,Mean-np,Nr-np
1,LG12,0,HY_sc30_37331335,0.487,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.9,0.824138,29,25.9,0.775,24,,,0,,,0
2,LG12,1.957,S12_17421552,0.328,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.8,0.821429,28,26.2,0.78,25,,,0,,,0
3,LG12,8.344,HY_sc27_1310718,0.878,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26,0.779412,34,28.7,0.842105,19,,,0,,,0
4,LG12,11.026,HY_sc30_39677996,0.107,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.5,0.815385,26,26.6,0.788889,27,,,0,,,0
5,LG12,12.833,HY_sc30_143439198,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.812,25,26.7,0.792857,28,,,0,,,0
6,LG12,15.861,HY_sc30_131512249,2.037,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.3,0.834483,29,24.3,0.756522,23,,,0,,,0
7,LG12,23.332,HY_sc12_695981,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.807407,27,27.3,0.796154,26,,,0,,,0
8,LG12,23.332,S12_13737660,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.7,0.807407,27,27.3,0.796154,26,,,0,,,0
9,LG12,23.332,HY_sc30_55171174,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.796154,26,26.7,0.807407,27,,,0,,,0
10,LG12,23.332,S12_14774677,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.796154,26,26.7,0.807407,27,,,0,,,0
11,LG12,23.332,S12_14892774,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.796154,26,26.7,0.807407,27,,,0,,,0
12,LG12,34.614,HY_sc12_5489717,0.059,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.8,0.790625,32,26.1,0.815,20,,,0,,,0
13,LG12,37.094,HY_sc12_4026840,1.834,2,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23.5,0.72,15,26.3,0.808333,24,28.6,0.875,12,,,0,,,0,,,0,,,0,,,0,,,0
14,LG12,38.892,HY_sc30_46091798,0.387,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.3,0.777419,31,28,0.836364,22,,,0,,,0
15,LG12,40.436,S12_9172638,0.55,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.1,0.773333,30,28.2,0.83913,23,,,0,,,0
16,LG12,43.473,S12_6076973,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0
17,LG12,43.473,HY_sc12_6774807,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0
18,LG12,46.636,HY_sc12_7113349,1.217,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.6,0.846154,26,25.5,0.759259,27,,,0,,,0
19,LG12,46.636,S12_5748625,1.217,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.6,0.846154,26,25.5,0.759259,27,,,0,,,0
20,LG12,47.419,HY_sc30_43058875,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.77037,27,27.6,0.834615,26,,,0,,,0
21,LG12,47.419,HY_sc12_4741922,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.77037,27,27.6,0.834615,26,,,0,,,0
22,LG12,47.419,S12_9382640,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.834615,26,26.4,0.77037,27,,,0,,,0
23,LG12,47.419,HY_sc30_130616077,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.834615,26,26.4,0.77037,27,,,0,,,0
24,LG12,47.419,S12_11077645,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.834615,26,26.4,0.77037,27,,,0,,,0
25,LG12,47.419,HY_sc12_6323102,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.834615,26,26.4,0.77037,27,,,0,,,0
26,LG12,47.419,S12_7072206,0.202,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.77037,27,27.6,0.834615,26,,,0,,,0
27,LG12,47.504,HY_sc12_3760552,1.352,2,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.3,0.8125,16,25,0.763636,22,29,0.842857,14,,,0,,,0,,,0,,,0,,,0,,,0
28,LG12,47.678,HY_sc30_74698813,0.265,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.2,0.834615,26,25.8,0.765385,26,,,0,,,0
29,LG12,48.604,S12_8157157,0.327,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.8,0.837037,27,26.2,0.765385,26,,,0,,,0
30,LG12,49.701,S12_5202889,7.052,1,***    ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,30.6,0.888889,27,23.2,0.711538,26,,,0,,,0,,,0,,,0,,,0,,,0,,,0
31,LG12,49.869,HY_sc12_4934296,0.484,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.9,0.839286,28,26,0.76,25,,,0,,,0
32,LG12,51.539,HY_sc12_7380771,10.34,2,***    ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,19.9,0.628571,14,30.6,0.888889,27,27.1,0.808333,12,,,0,,,0,,,0,,,0,,,0,,,0
33,LG12,51.587,S12_5482588,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.848148,27,25.3,0.753846,26,,,0,,,0
